Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.0780416	1.7746463	4.0	-2.5	11.789317	-0.04901291	0.051057924	0.15372369	-0.16512944	4000	2.0489097e-08	3.1836624	-0.010023218	-0.9842545	1.0949966	0.013608778	0.30825	2.0	112.77343797683716
1	-0.62734383	2.187323	4.0	-2.5	10.3880205	-0.26594603	1.0182824	2.6959155	-1.751039	8000	-1.9557774e-08	3.811149	-0.011908081	-0.29973853	1.0947863	0.015493177	0.241	3.0	244.97459506988525
2	0.09541985	2.5684876	4.0	-2.5	10.089059	0.46415886	1.4445546	3.9927607	-2.212452	12000	-1.8626451e-09	5.2333517	-0.012648845	-0.39738047	1.0663097	0.0135089345	0.2755	3.0	379.2448961734772
3	0.25651163	2.5946352	4.0	-2.4	9.272093	1.067977	1.3416274	4.2634516	-2.3800774	16000	-1.7695129e-08	5.20811	-0.010437751	-0.20297575	1.0220777	0.015544687	0.1175	3.0	503.84159779548645
4	0.62099326	2.6651645	4.0	-2.3	8.981941	1.3527085	1.4551646	6.330634	-3.2723882	20000	-2.0489097e-08	5.2722607	-0.0014600405	-0.3129171	0.9553558	0.017128505	0.20300001	4.0	619.6571238040924
5	0.5583864	2.6623204	4.1	-2.0	8.471337	1.6894597	1.4840865	5.838574	-1.7996112	24000	5.5879354e-09	5.053192	-0.01575443	-0.25416028	0.85494363	0.008848947	0.13624999	79.0	747.3735930919647
6	0.85799575	2.7127993	4.1	-2.0	8.477612	1.6872019	1.6167419	5.9528737	-1.9248754	28000	-1.6763806e-08	4.7445574	-0.010523966	-0.44038987	0.8509793	0.009439549	0.10625	79.0	876.3741519451141
7	0.9944326	2.7238755	4.1	-2.0	8.535332	2.0549235	1.6826886	7.6014695	-2.2934783	32000	-1.5366822e-08	4.3719435	-0.009551622	-0.35605407	0.8336818	0.009403965	0.11125	79.0	987.2019968032837
8	0.87542725	2.7290645	4.1	-2.0	8.510684	1.9172263	1.7477956	5.86702	-2.6538618	36000	-1.8626451e-09	4.7629576	-0.009583837	-0.5863589	0.8139942	0.006705834	0.10675	79.0	1102.8298525810242
9	0.98183763	2.7430625	4.1	-2.0	8.514957	2.0853698	1.6350621	5.533361	-1.7917676	40000	7.450581e-09	4.182066	-0.0074682534	-0.6844713	0.81495035	0.003984463	0.06175	79.0	1219.4348497390747
10	1.0238612	2.7514374	4.0	-2.0	8.655098	2.0836403	1.8659028	6.345192	-2.6641102	44000	-8.381903e-09	3.7383885	-0.008094702	-0.37302637	0.8070385	0.0038765708	0.06425001	79.0	1332.7715632915497
11	0.78961873	2.734424	4.1	-2.0	8.43856	2.0181644	1.9081353	6.4625916	-6.021199	48000	-5.5879354e-09	3.8181853	-0.010824107	-0.3556674	0.78734314	0.0046535283	0.091749996	79.0	1447.4496819972992
12	1.1754423	2.74911	4.1	-2.0	8.820796	1.9791665	1.9229003	5.551226	-2.2635422	52000	-8.381903e-09	3.6181526	-0.012630293	-0.48411727	0.77435106	0.0064060683	0.08975	79.0	1558.8134760856628
13	1.1686535	2.7475195	4.1	-2.0	8.777042	2.2714903	1.9427632	6.597373	-2.6395228	56000	-1.0244548e-08	3.28922	-0.01369804	-0.3657387	0.7437173	0.0077454457	0.10350001	79.0	1669.4622328281403
14	1.19823	2.757748	4.1	-2.0	8.814159	2.246621	1.9487348	5.988029	-2.2634397	60000	-1.8626451e-09	3.412922	-0.011378335	-0.29990858	0.73565835	0.0063730436	0.1055	79.0	1781.637773990631
15	1.3780044	2.7335477	4.1	-2.0	9.00907	2.336825	1.8782333	5.9732075	-2.761537	64000	5.5879354e-09	3.2026448	0.0048394483	-0.3026933	0.7045479	0.016629484	0.25225	2.0	1890.3454856872559
16	1.5606279	2.7292778	4.1	-2.0	9.611111	2.553414	1.890324	12.959089	-3.3407583	68000	-1.3969839e-09	3.2002087	-0.014553817	-0.29923248	0.70951474	0.008902569	0.09425	79.0	2008.7075476646423
17	1.3755344	2.7465193	4.0	-2.0	9.451306	2.4191642	1.8070495	5.8635917	-3.309029	72000	4.656613e-10	3.6580343	-0.01333988	-0.3193459	0.6983708	0.010588925	0.1255	79.0	2127.291553735733
18	1.6833733	2.7004397	4.0	-2.0	9.6	2.5420952	1.7504208	5.7194614	-2.5780025	76000	7.450581e-09	3.3262713	-0.0054934258	-0.31144994	0.6904385	0.015639164	0.18475	41.0	2237.350421667099
19	1.9823233	2.6213365	4.0	-2.0	10.050505	2.7283854	1.7254845	6.1382475	-2.1308534	80000	3.7252903e-09	2.957602	-0.011236072	-0.3010832	0.64561284	0.007604924	0.07875	79.0	2349.05477142334
20	2.161795	2.5505056	4.0	-1.9	10.228205	2.92538	1.623745	7.35591	-2.3552322	84000	4.656613e-10	3.0318217	-0.009346629	-0.27357405	0.6260097	0.0023654096	0.0595	79.0	2459.6883561611176
21	2.130769	2.5708778	4.0	-1.9	10.230769	2.977406	1.515435	7.6281476	-2.5448954	88000	1.8626451e-09	3.114699	-0.011209901	-0.35549188	0.590442	0.007818119	0.08925	79.0	2570.1121485233307
22	2.3679686	2.4485307	4.0	-1.9	10.3828125	3.0126407	1.5458165	8.756894	-2.5983994	92000	0.0	2.7166638	0.0012833143	-0.47820878	0.587021	0.014107139	0.1515	5.0	2679.6622111797333
23	2.2399478	2.519749	4.0	-1.9	10.368146	3.1470058	1.5097449	6.1594024	-3.323407	96000	-9.313226e-09	2.8699756	-0.010204064	-0.34266037	0.57989216	0.0055603907	0.0515	79.0	2790.652361392975
24	2.168229	2.5471961	4.0	-2.0	10.348958	2.9761212	1.5852609	7.565472	-2.677881	100000	-5.5879354e-09	2.7278078	0.004530807	-0.28502113	0.55334103	0.012903756	0.14950001	16.0	2900.6358528137207
25	2.2458665	2.5174437	4.0	-2.0	10.581333	2.9580834	1.5953043	6.2987237	-5.443559	104000	9.313226e-09	2.7442636	-0.008198425	-0.3923487	0.5407179	0.006088261	0.07925	79.0	3010.0853893756866
26	2.2650793	2.5176828	4.0	-2.0	10.523809	3.0288758	1.5136969	5.339982	-4.534724	108000	1.4901161e-08	2.9669144	0.0045460574	-0.34688455	0.53300226	0.015893452	0.14625001	1.0	3132.437507390976
27	2.5070865	2.3749738	4.0	-2.1	10.440945	3.179576	1.4888692	6.593687	-3.342486	112000	3.7252903e-09	2.3078046	0.006163193	-0.47828797	0.55371404	0.012567055	0.15275	3.0	3249.353241443634
28	2.2820103	2.502537	4.1	-1.9	10.513227	3.185485	1.4911548	5.3503504	-3.3606012	116000	-1.3038516e-08	2.7670732	-0.0021241002	-0.51943356	0.5321743	0.012669035	0.113	13.0	3359.484744310379
29	2.3949735	2.4386008	4.0	-2.2	10.547619	3.0116374	1.6275938	5.717775	-3.221987	120000	5.5879354e-09	2.6168694	0.008183556	-0.41420487	0.5527046	0.012518725	0.1255	1.0	3468.037227869034
30	2.2299998	2.5231538	4.0	-2.0	10.18718	3.1487658	1.5132645	5.5066257	-3.1326883	124000	7.450581e-09	2.6775339	0.009859607	-0.30203694	0.5672068	0.014380572	0.192	3.0	3585.832038164139
31	2.3613577	2.4617748	4.0	-2.0	10.4073105	3.0085576	1.6493394	5.806873	-3.2545123	128000	-9.313226e-09	2.4655209	0.0058817966	-0.3834923	0.5404345	0.0126998	0.15349999	9.0	3712.4888954162598
32	2.4407506	2.4160213	4.0	-1.9	10.659517	3.173545	1.5419425	6.425411	-4.3074245	132000	0.0	2.4886951	-0.009316204	-0.36830667	0.5286398	0.004316205	0.09325	79.0	3829.652446746826
