Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.8614458	5.0502195	9.0	-6.5	11.987952	-0.048076957	0.051352255	0.15941663	-0.1662967	4000	1.3038516e-08	22.901762	-0.004392782	-5.9377766	1.0950902	0.019281367	0.56525	3.0	251.05453610420227
1	-1.3705882	5.779347	9.0	-6.5	10.631016	-0.3457892	2.6897805	6.73034	-4.2030354	8000	-7.450581e-09	23.875046	-0.006221961	-0.8470402	1.0912635	0.014187405	0.242	3.0	474.92299222946167
2	-0.20950001	6.66288	9.1	-6.4	9.97	0.5663232	3.0431523	10.022951	-5.3543367	12000	-8.381903e-09	31.074352	-0.0048098713	-1.9383817	1.0626472	0.01478589	0.35074997	3.0	697.3637547492981
3	-0.34479636	6.767425	9.0	-6.3	8.990951	1.9523218	3.4203198	9.733521	-5.3553224	16000	-1.5832484e-08	32.649582	-0.004376796	-1.1461124	1.0198781	0.0148016475	0.3495	3.0	924.7948372364044
4	-0.3386752	6.890665	9.1	-6.4	8.514957	1.809219	3.6282685	13.004269	-6.167612	20000	0.0	33.598946	0.00032316335	-1.7636704	0.9619427	0.015295949	0.202	3.0	1149.2179508209229
5	0.52925766	7.0267467	9.1	-6.0	8.681223	2.4436338	4.1085906	13.78129	-6.4098787	24000	2.514571e-08	32.42731	-0.011227587	-2.498342	0.8869513	0.008975087	0.15599999	79.0	1372.172653913498
6	0.58790493	7.096501	9.0	-6.0	8.591793	3.0914316	4.021604	12.5925665	-10.769553	28000	1.4901161e-08	33.111046	-0.0035509455	-2.3838162	0.87774485	0.01205723	0.14	10.0	1593.6579093933105
7	0.51620466	7.1202908	9.1	-6.0	8.484009	2.5724506	4.027918	10.115899	-8.597219	32000	1.21071935e-08	31.486904	-0.013038782	-2.64368	0.8329381	0.008439373	0.11750001	79.0	1822.2416779994965
8	1.4806168	7.192643	9.0	-6.0	8.762115	3.0845914	4.306299	14.638075	-10.736271	36000	1.3038516e-08	30.61457	-0.010739298	-3.1884031	0.82968277	0.009368434	0.121	79.0	2050.0266366004944
9	1.0161289	7.2137785	9.1	-6.0	8.548388	3.5896518	4.211346	9.940047	-8.3094635	40000	3.259629e-09	28.187756	-0.00857616	-3.5534062	0.82705945	0.0037122187	0.0445	79.0	2277.694926738739
10	1.6424106	7.2342463	9.1	-6.1	8.910714	3.6351175	4.3785515	11.320779	-8.7832	44000	9.313226e-09	26.59374	-0.0092852395	-3.0137424	0.8074835	0.006834681	0.08325	79.0	2503.746152162552
11	1.4741572	7.2463284	9.1	-6.3	8.966292	4.21205	4.3494773	11.14547	-7.0884333	48000	1.6763806e-08	28.047613	-0.008587152	-3.6455727	0.7889875	0.0073739686	0.0785	79.0	2727.277205467224
12	2.0571752	7.2299323	9.1	-6.0	9.041002	3.9983413	4.395974	12.125607	-7.442127	52000	5.5879354e-09	25.190025	-0.0097199455	-2.76336	0.76147395	0.0075609377	0.08975001	79.0	2953.529773712158
13	1.5077949	7.2502117	9.0	-6.0	8.864142	3.7562084	4.5785356	12.295009	-8.115524	56000	3.7252903e-09	23.08406	-0.011394135	-2.4180193	0.7563399	0.008104699	0.07700001	79.0	3175.597151517868
14	1.8047297	7.2522373	9.1	-6.0	8.97973	3.9367592	4.6605034	14.165153	-12.420403	60000	1.6298145e-08	23.869492	0.0019332978	-2.1754708	0.74286544	0.012906566	0.13749999	9.0	3313.8672275543213
15	2.4089622	7.216139	9.0	-6.0	9.400944	3.9143937	4.8191166	13.700897	-11.331902	64000	1.21071935e-08	24.87839	0.0052526956	-3.1161418	0.75479114	0.014188008	0.1745	1.0	3424.6592106819153
16	1.9071252	7.264665	9.0	-6.0	9.798526	4.177711	4.407071	11.599165	-8.604583	68000	-1.6763806e-08	27.889511	0.0005948227	-3.565981	0.76182336	0.012523605	0.11524999	4.0	3534.971527814865
17	2.7283292	7.183111	9.0	-6.0	9.641646	4.3197174	4.431318	17.049461	-10.041981	72000	-9.313226e-09	23.111858	-0.011244407	-2.1762986	0.7346632	0.006738603	0.078	79.0	3644.398131608963
18	3.568421	6.975974	9.0	-6.0	9.929825	4.8071074	4.3122873	13.429761	-12.452672	76000	-6.519258e-09	22.592415	-0.008819355	-2.4043179	0.7344852	0.003699508	0.082	79.0	3753.1222801208496
19	2.7532847	7.173973	9.0	-6.0	9.693431	5.035351	4.0552726	11.821401	-9.392256	80000	3.7252903e-09	23.736721	-0.012644045	-2.7916765	0.7047869	0.0075644418	0.08575	79.0	3863.3812754154205
20	3.089756	7.0928197	9.1	-6.0	9.712195	4.785931	4.4376783	12.682465	-9.785566	84000	-7.916242e-09	21.42591	-0.011917606	-2.6271586	0.687301	0.010250313	0.14325	79.0	3973.841510772705
21	3.7251244	6.935337	9.0	-6.0	9.88806	5.413168	4.273597	12.61713	-9.283879	88000	-2.6077032e-08	19.224518	-0.013571928	-2.4450517	0.6569676	0.012452808	0.1275	36.0	4083.457488298416
22	3.96206	6.85878	9.0	-6.0	10.002513	5.323041	4.3614993	14.123037	-8.147517	92000	-1.1175871e-08	19.915953	0.0022530258	-2.7949166	0.65363777	0.013958389	0.215	8.0	4192.1908230781555
23	4.0054545	6.837619	9.0	-6.1	10.335065	5.6086817	4.0028176	12.010143	-10.834593	96000	-1.4901161e-08	21.830263	-0.012798101	-2.9571414	0.631763	0.0060233073	0.091	79.0	4301.729818344116
24	5.259893	6.2526183	9.0	-5.9	10.636364	6.048161	3.7186985	11.93431	-8.70108	100000	4.656613e-09	17.891392	-0.009442201	-2.8770847	0.583459	0.0054081017	0.0825	79.0	4412.352682590485
25	4.615844	6.5994716	9.0	-6.0	10.335065	5.9926386	3.904879	34.06497	-10.23895	104000	-1.8626451e-09	17.110527	0.0039819023	-3.0904713	0.5580831	0.014336852	0.16925	4.0	4521.027137756348
26	4.6314435	6.5796304	9.0	-6.2	10.257732	6.244532	3.7930593	12.30476	-9.361237	108000	1.4901161e-08	17.595436	0.006421159	-2.5285366	0.53003657	0.014606786	0.17275	6.0	4628.153096437454
27	5.324	6.2022543	9.0	-6.0	10.626667	6.191495	3.828853	13.746291	-10.848935	112000	3.7252903e-09	16.030643	0.0108037535	-2.5244584	0.5089822	0.012873573	0.14375001	1.0	4736.356001377106
28	4.6071997	6.5981836	9.0	-5.9	10.5946665	6.2796874	3.6911702	13.352918	-11.0420685	116000	-1.4901161e-08	19.309963	-0.00071338145	-3.1191945	0.50316584	0.012111234	0.10625	2.0	4843.366371393204
29	5.5085106	6.1170526	9.0	-5.9	10.606383	6.250572	3.738841	11.635015	-10.134608	120000	1.8626451e-09	16.784252	0.008179652	-4.2321396	0.5047802	0.018273115	0.17025	3.0	4954.129500865936
30	5.2745943	6.272248	9.0	-6.0	10.767568	6.4433203	3.642085	12.481073	-7.9909143	124000	-3.7252903e-09	18.339148	0.002649433	-2.9780734	0.49902052	0.02233948	0.2105	6.0	5063.123794555664
31	5.0960526	6.3522196	9.0	-5.9	10.486842	6.3549657	3.6523106	12.0747795	-8.98379	128000	-7.450581e-09	15.952904	0.009497534	-2.7559383	0.48991805	0.019930206	0.13499999	3.0	5172.429003238678
32	5.248907	6.263158	9.0	-6.0	10.898907	6.290017	3.578518	12.16499	-8.277926	132000	-1.3038516e-08	18.664455	0.0010233035	-3.4961896	0.47452986	0.013698577	0.166	6.0	5280.486856222153
33	5.0831995	6.3580217	9.0	-5.9	10.634666	6.34001	3.7355459	12.66819	-10.692903	136000	1.0244548e-08	15.81122	0.009241695	-2.6820579	0.4456542	0.015969902	0.14025	1.0	5388.80228304863
34	5.0724673	6.3768225	9.0	-6.0	10.314285	6.609522	3.648624	13.234959	-8.964361	140000	-1.3969839e-08	13.7951975	0.00925945	-2.724915	0.44872203	0.015376106	0.17375	3.0	5498.494132757187
35	5.233245	6.2915163	9.0	-5.9	10.566489	6.435717	3.926764	14.949126	-11.308731	144000	0.0	15.180672	0.003346506	-2.544497	0.45423955	0.012730485	0.1195	5.0	5607.934465646744
36	4.688298	6.5801826	9.0	-6.0	10.563829	6.106167	4.095814	13.084727	-11.772819	148000	1.3038516e-08	17.265213	0.0032585075	-3.590403	0.42111373	0.01701137	0.15325	6.0	5716.873663663864
37	5.625469	6.0253015	9.0	-6.0	10.635388	6.326028	3.8537595	13.086351	-9.512947	152000	1.1175871e-08	14.931241	0.00079953845	-4.7097473	0.4252922	0.0136171905	0.096750006	10.0	5827.579466819763
38	5.7118425	5.988009	9.0	-6.0	10.513158	6.81935	3.8034742	12.204688	-15.875932	156000	-6.519258e-09	14.392075	-0.002014689	-2.9046679	0.42014778	0.012877335	0.120000005	20.0	5937.109649419785
39	5.1367188	6.347619	9.0	-6.3	10.3515625	6.7531586	3.6967177	12.470335	-9.267243	160000	3.7252903e-09	14.329842	0.0061199986	-3.0677133	0.4268148	0.014154367	0.149	5.0	6046.619666337967
40	5.01618	6.405202	9.0	-6.0	10.580902	6.253382	4.2028804	16.565624	-9.732385	164000	2.0489097e-08	16.74044	-0.0018644654	-3.5853302	0.40438417	0.013225343	0.092250004	10.0	6154.395379543304
41	5.486059	6.120056	9.0	-6.0	10.689008	6.4224367	3.9027996	13.535986	-12.07527	168000	3.7252903e-09	12.793178	-0.0076169777	-2.4830515	0.39333797	0.012099985	0.0815	75.0	6263.4163064956665
