Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-0.6451923	5.275801	9.0	-6.5	12.701923	-0.041021645	0.07213934	0.25176263	-0.22348213	4000	-3.7252903e-09	23.125217	-0.011874044	-4.972539	1.0950415	0.012613472	0.24775	3.0	111.95401906967163
1	0.14854652	6.201116	9.0	-6.5	11.59593	0.7130804	2.2586672	6.7836986	-4.0611205	8000	-9.313226e-09	27.197632	-0.014994407	-1.7594461	1.0932208	0.013236916	0.3135	4.0	225.36593866348267
2	1.3328729	6.631921	9.1	-6.5	10.980663	1.9024756	2.8423233	9.546376	-4.983577	12000	2.4680048e-08	30.823406	-0.008066166	-1.9967532	1.0642257	0.01788525	0.207	4.0	339.569571018219
3	2.1918573	6.960948	9.2	-6.5	10.142493	3.1120806	2.7867203	10.163792	-6.161918	16000	-1.1175871e-08	34.841404	-0.0034352955	-2.7885442	1.0019599	0.017105183	0.3815	4.0	454.17184233665466
4	1.4929577	7.04048	9.1	-6.3	9.366198	3.80698	2.7725868	11.879909	-7.3718567	20000	9.313226e-09	33.549797	-0.012908707	-3.568211	0.9228946	0.007448774	0.0855	79.0	571.9110567569733
5	2.473449	6.9860706	9.1	-6.3	9.880894	4.158531	3.4441066	13.879666	-15.212103	24000	1.1175871e-08	30.04153	-0.01496237	-2.3617678	0.922806	0.009596743	0.09875	79.0	696.4507675170898
6	2.66575	6.932586	9.1	-6.3	9.9675	4.191706	3.4408672	14.448984	-17.038162	28000	-1.8626451e-08	29.946478	-0.016882233	-2.7543826	0.9343364	0.0061987094	0.12825	79.0	812.8338854312897
7	3.2713177	6.8481784	9.1	-6.5	10.310078	4.7896724	3.2855978	14.093863	-12.710754	32000	-3.7252903e-09	28.736149	-0.01816734	-2.6153216	0.9429668	0.010627799	0.13175	79.0	930.720654964447
8	3.3445876	6.902536	9.0	-6.5	10.239691	4.655082	3.1518612	12.714707	-9.589632	36000	-9.313226e-09	28.363535	-0.0063394085	-2.6842418	0.93167645	0.012422783	0.13125	6.0	1048.8260552883148
9	4.197878	6.587042	9.0	-6.4	10.541114	5.4232125	3.1254404	14.289121	-4.8297873	40000	-1.8626451e-09	23.876478	-0.020993747	-2.4976597	0.91613317	0.012393711	0.16225	52.0	1164.8752179145813
