Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.436923	5.2123985	9.0	-6.5	12.2153845	-0.039106384	0.076337434	0.2312855	-0.20108172	4000	5.5879354e-09	23.050169	-0.011770539	-5.366292	1.0954876	0.015118389	0.286	3.0	141.12416625022888
1	-0.1073034	6.465922	9.0	-6.5	11.185393	0.0169554	2.5216649	7.08483	-4.124104	8000	-7.450581e-09	27.301395	-0.015679304	-3.5710678	1.0910015	0.01808323	0.46425	4.0	286.5972502231598
2	1.371134	6.979985	9.0	-6.5	10.257732	1.9026425	3.7740126	11.222309	-7.0463753	12000	-1.1175871e-08	29.43623	-0.017457314	-2.863885	1.0541935	0.0132548455	0.1525	3.0	408.9086060523987
3	3.1127872	6.919448	9.1	-6.2	10.176471	3.4818683	3.896753	11.206235	-6.9755416	16000	5.5879354e-09	28.421581	-0.014032025	-2.4208574	0.99879396	0.013508111	0.111499995	3.0	536.7516350746155
4	4.3278193	6.7426558	9.1	-6.3	9.97995	4.825639	3.454935	14.667477	-8.794309	20000	3.7252903e-09	23.605556	-0.010792196	-2.0092335	0.9218484	0.015429067	0.083	3.0	658.3277854919434
5	4.6366997	6.522523	9.1	-6.3	9.790641	5.7723	3.486207	12.130717	-7.1069374	24000	-1.4901161e-08	20.332891	-0.012378262	-1.7087586	0.82381797	0.02100147	0.22475	3.0	778.4910199642181
6	5.200978	6.282537	9.1	-6.1	9.726161	5.9086576	3.4598668	13.596379	-10.222272	28000	-1.14087015e-08	18.471394	-0.0014416275	-1.8364439	0.70161784	0.01608118	0.16525	3.0	903.6201100349426
7	6.4662504	5.2798853	9.1	-5.9	9.9625	7.0109835	2.8132908	14.892788	-11.049772	32000	3.7252903e-09	15.220036	-0.007704165	-1.6649282	0.5982809	0.012100909	0.10275	50.0	1028.6106820106506
8	6.3128467	5.522754	9.1	-6.1	10.04534	7.1722274	2.45614	12.075813	-6.171918	36000	8.381903e-09	15.921992	-0.007475785	-1.6617963	0.6038693	0.0057445434	0.06325	79.0	1158.7744555473328
9	6.4642324	5.357706	9.0	-6.0	10.042821	7.0861797	2.8894396	11.789938	-8.177411	40000	-1.0244548e-08	11.928472	-0.008451005	-1.5917537	0.59224755	0.004492156	0.082	79.0	1284.5088903903961
