Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	3.583623	6.876878	9.5	-8.8	9.82134	-0.02189633	0.0479178	0.09244937	-0.17865503	4000	-3.7252903e-08	62.321033	-0.012099714	-35.60768	1.6077718	0.013636958	0.16325	4.0	71.63852834701538
1	4.019542	6.771709	9.5	-7.5	8.245322	5.4440017	2.2887628	9.84494	-0.2992707	8000	1.6763806e-08	25.185425	-0.018770881	-1.8632865	1.597131	0.012421514	0.21575	26.0	141.66858839988708
2	4.8396516	6.5955787	9.5	-7.2	7.696325	5.991334	2.43301	10.714883	-0.9447876	12000	-1.8626451e-09	26.43144	-0.016440945	-1.3679962	1.5690365	0.010247096	0.1885	79.0	199.1436026096344
3	5.0623903	6.5119243	9.5	-6.9	7.0210896	6.1559024	2.3458064	10.190422	-5.413897	16000	-1.0244548e-08	24.654505	-0.015759692	-1.4855585	1.5349131	0.012266686	0.2275	25.0	259.45749521255493
4	5.1003566	6.4836774	9.5	-7.3	7.1069517	6.682191	2.2590935	10.30851	-2.1672397	20000	-1.4901161e-08	24.543186	-0.0118292365	-0.80436134	1.4981487	0.012560956	0.114999995	14.0	319.90814304351807
5	5.370818	6.383233	9.5	-7.5	7.0569396	6.475026	2.232914	9.850361	-3.8198483	24000	1.1175871e-08	23.8401	-0.010299516	-0.99090385	1.4428438	0.012323204	0.1385	14.0	392.49473762512207
6	5.728042	6.185185	9.5	-8.3	7.005291	6.649575	2.2243917	10.104824	-6.3916507	28000	8.381903e-09	22.641115	-0.0053731855	-0.94750357	1.3849088	0.015702132	0.17925	5.0	458.89706325531006
7	5.847259	6.1830883	9.5	-6.1	5.8977776	6.787618	1.9276377	10.172316	-3.195199	32000	8.381903e-09	22.787231	-0.004462125	-1.2642264	1.2794356	0.014254037	0.17475	5.0	523.8825733661652
8	5.923324	6.185103	9.5	-8.0	5.571229	6.8194423	2.221692	10.834035	-5.695077	36000	-5.5879354e-09	26.274723	-0.0027017475	-1.8144541	1.1597128	0.013017589	0.1875	5.0	590.1388709545135
9	6.570861	5.756342	9.5	-5.9	5.284768	6.8503447	1.995006	10.67298	-2.42527	40000	-3.7252903e-09	22.17397	-0.012085779	-1.8297081	1.0128362	0.0051477267	0.095249996	79.0	650.5845828056335
10	5.8912983	6.2141557	9.5	-5.8	5.1779222	7.273244	1.9887583	11.558637	-1.9727035	44000	1.21071935e-08	24.393423	-0.012075132	-1.4826293	1.0119044	0.010527143	0.10525	79.0	704.3094530105591
11	5.8611903	6.264233	9.5	-5.8	5.1655884	6.8070703	2.2987623	12.002771	-5.763076	48000	-1.3969839e-08	24.49096	-0.009518834	-1.5774717	0.9340182	0.005233902	0.091749996	79.0	760.2178254127502
12	6.168904	6.085613	9.5	-5.7	5.1496773	6.7940097	2.5294044	11.23236	-2.4507992	52000	-2.7939677e-09	22.014294	-0.009229861	-1.3296461	0.90377545	0.0067839907	0.08325	79.0	815.6377186775208
