Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1.765	6.974402	9.3	-7.5	12.35	-0.004025736	0.050100647	0.12050263	-0.17354122	4000	-3.7252903e-08	51.56163	-0.011009889	-22.244987	1.608006	0.0125335045	0.24825	5.0	58.27374505996704
1	1.6921375	7.112013	9.3	-7.4	9.737101	4.049677	2.465736	8.90226	-1.2830055	8000	-3.7252903e-09	32.241444	-0.016879346	-1.5537486	1.5975664	0.012204699	0.21475	31.0	113.11154103279114
2	2.0577404	7.168248	9.3	-6.5	8.292887	4.1827626	2.8631275	10.96727	-4.122175	12000	-1.3737008e-08	31.451408	-0.01858241	-1.2239027	1.5726339	0.008985871	0.16775	79.0	169.11149501800537
3	2.2599156	7.2135773	9.3	-7.2	8.413502	4.624072	3.1580014	11.39878	-8.448991	16000	0.0	34.62561	-0.021485103	-1.3819127	1.5452635	0.011388682	0.17475	79.0	225.65440034866333
4	2.894978	7.159145	9.3	-8.4	8.713974	4.3136234	3.0605772	11.667151	-6.9825344	20000	2.7939677e-09	33.51558	-0.005401554	-1.9562602	1.507937	0.012361134	0.22025001	7.0	280.35609126091003
5	3.8128543	7.0047636	9.3	-6.8	7.5236297	5.1802897	2.824213	11.408753	-5.019378	24000	4.656613e-09	31.838947	-0.008245412	-1.4556155	1.4238704	0.013097286	0.311	5.0	336.1178517341614
6	4.135689	6.922603	9.3	-6.2	7.0530033	5.7012715	2.4792576	11.566212	-4.4133835	28000	1.3969839e-08	30.696812	-0.0027731387	-0.7935548	1.3094435	0.015816651	0.29775	5.0	391.83977937698364
7	4.209612	6.942954	9.3	-6.1	6.72344	5.8599105	2.3620481	11.470318	-0.79731303	32000	-3.7252903e-09	32.392147	-0.0028038472	-1.2865825	1.1803244	0.012192529	0.10475	5.0	447.5181984901428
8	4.380504	6.8835254	9.3	-6.1	6.6991596	5.876871	2.3732564	11.734567	-3.3350937	36000	1.6763806e-08	30.973913	-0.009435235	-1.9062972	1.0824351	0.007478148	0.1425	79.0	504.62296319007874
9	4.609817	6.8119516	9.3	-6.2	6.6472545	5.93496	2.4042394	13.385428	-2.7077575	40000	-1.6298145e-09	29.237286	-0.010122865	-2.4676113	1.0369698	0.010318176	0.0995	79.0	562.3992955684662
10	4.552341	6.8385653	9.3	-6.3	6.6505017	5.9273214	2.6945667	12.97633	-6.8534303	44000	-7.450581e-09	29.693401	-0.008789528	-2.2695012	0.98340917	0.012025256	0.08025	59.0	619.7742779254913
11	4.726504	6.783696	9.3	-6.0	6.474797	6.033273	2.7520943	13.541475	-3.6813765	48000	-1.1175871e-08	26.605503	-0.007826181	-1.709815	0.9341027	0.01056519	0.07875	79.0	677.7632329463959
12	4.945033	6.6791086	9.3	-5.8	6.5927153	6.167502	2.993411	15.698387	-6.859726	52000	3.7252903e-09	24.754704	-0.007879194	-1.7922068	0.9184402	0.0067967833	0.057000004	79.0	748.5889401435852
13	4.5259867	6.854375	9.3	-5.9	6.549342	6.338504	3.0139828	13.464485	-6.902301	56000	1.0244548e-08	28.109312	-0.008957708	-2.8215017	0.9171476	0.007318418	0.0755	79.0	818.598156452179
14	4.6862683	6.8072443	9.3	-6.2	6.4491115	5.889844	3.1325898	12.221981	-5.874394	60000	-9.313226e-10	25.902176	-0.00920744	-2.8245645	0.86802775	0.0057587083	0.085250005	79.0	887.3587250709534
15	4.9527597	6.687665	9.3	-6.2	6.478896	6.0866575	3.3382585	13.469289	-6.457904	64000	-1.2572855e-08	23.4188	-0.0078019113	-1.6351504	0.84235644	0.0057950877	0.058	79.0	954.2662951946259
16	5.1177926	6.60829	9.3	-5.9	6.565074	6.4390182	3.1665237	14.325776	-7.5001144	68000	-1.7695129e-08	23.144096	-0.008412347	-1.835825	0.8142221	0.012388227	0.057	78.0	1031.5329158306122
17	4.9364085	6.6860747	9.3	-5.7	6.5667214	6.3633137	3.225619	14.899542	-8.955306	72000	1.3969839e-08	23.771732	-0.00697627	-1.8441758	0.8472711	0.0030221494	0.0915	79.0	1101.79261636734
18	5.173008	6.592902	9.3	-5.8	6.481301	6.30051	3.2599156	13.923051	-7.654549	76000	1.44355e-08	22.614353	-0.0017277837	-1.6498804	0.8206893	0.012015702	0.112	4.0	1169.014787197113
19	4.9684296	6.6748214	9.3	-6.1	6.596694	6.366357	3.2431507	14.247327	-11.493694	80000	-1.1641532e-08	24.30721	-0.007473442	-2.4088912	0.78116477	0.005699547	0.06575	79.0	1232.4274969100952
20	4.4019165	6.9119425	9.3	-6.1	6.380192	6.195225	3.4129586	13.656236	-7.957852	84000	-5.5879354e-09	26.14103	-0.0072864685	-2.9944034	0.7409084	0.0070916405	0.05	79.0	1295.2979061603546
21	5.415321	6.4498177	9.3	-5.7	6.5551896	6.0557404	3.5297623	16.886135	-6.246122	88000	-4.1909516e-09	21.90621	-0.008037271	-2.8024359	0.75595766	0.009781048	0.116	79.0	1365.5589277744293
22	4.8798695	6.7335696	9.3	-6.2	6.520458	6.667098	3.2300236	17.300379	-9.284145	92000	1.1175871e-08	23.632097	-0.007334125	-2.8022294	0.7573068	0.009881078	0.0575	79.0	1436.459193944931
23	5.2510777	6.554399	9.3	-5.9	6.610282	6.356713	3.4268553	14.578215	-8.254705	96000	-1.14087015e-08	22.80051	-0.0074777827	-2.5751472	0.76071286	0.0075397952	0.13475001	79.0	1506.8301448822021
24	4.804918	6.7479525	9.3	-6.2	6.5409837	6.382572	3.3278685	16.271505	-7.4417872	100000	-1.3038516e-08	24.107773	-0.009199319	-2.6099734	0.7397971	0.0027826952	0.06625	79.0	1580.4453692436218
25	4.8768334	6.725264	9.3	-6.0	6.6483335	6.347674	3.3518991	14.892889	-6.4245954	104000	-2.0489097e-08	23.813824	-0.008748217	-2.124278	0.7152495	0.010444117	0.08775	79.0	1655.9309253692627
26	5.321803	6.5052013	9.3	-5.8	6.5360656	6.298922	3.4892254	17.776886	-7.316492	108000	-1.3038516e-08	20.115189	-0.0061905095	-2.503931	0.7038866	0.0052954433	0.049999997	79.0	1716.3443038463593
27	5.1592035	6.5874295	9.3	-5.9	6.616915	6.613384	3.4281492	16.967625	-8.656859	112000	-9.313226e-09	23.221426	-0.007042721	-2.8010192	0.709805	0.0040493663	0.037	79.0	1770.9386715888977
28	5.0922823	6.6232677	9.3	-6.1	6.54844	6.3255186	3.520314	13.820951	-6.939675	116000	9.313226e-10	23.228601	-0.00869572	-2.7702188	0.6543141	0.008805541	0.073750004	79.0	1826.0724992752075
29	5.315676	6.504117	9.3	-5.9	6.579208	6.5511785	3.3556652	12.625043	-6.488811	120000	-1.8626451e-08	20.418877	-0.0072629047	-2.3653562	0.65499425	0.0034813697	0.0625	79.0	1878.3107316493988
30	5.08385	6.6255317	9.3	-5.8	6.502447	6.5082836	3.4086459	15.7779665	-9.210631	124000	-1.5599653e-08	21.0456	-0.0052038385	-2.1804285	0.63399905	0.012449332	0.16975	27.0	1931.4113082885742
31	5.40183	6.4540725	9.3	-5.8	6.6306157	6.7091336	3.4456248	12.759642	-8.691529	128000	9.313226e-09	20.323694	-0.0071963747	-2.6279109	0.66252416	0.0076177134	0.06025	79.0	1994.806231021881
32	4.9519258	6.6487985	9.3	-6.1	6.678392	6.70008	3.3566575	13.614652	-6.9162393	132000	-3.7252903e-09	23.070353	-0.0094083715	-3.2865753	0.6782244	0.007480985	0.076749995	79.0	2064.5936222076416
33	4.9846783	6.6417494	9.3	-5.9	6.5782537	6.358677	3.5084386	13.9096155	-7.06723	136000	-1.7695129e-08	20.256872	-0.008150788	-2.6106462	0.6569801	0.009149726	0.062250003	79.0	2133.659004688263
34	5.2214527	6.5632057	9.3	-6.0	6.738176	6.590306	3.4668071	12.936175	-7.5838	140000	3.7252903e-09	22.258734	-0.0077761533	-3.7626123	0.6410788	0.0031061166	0.057	79.0	2193.409532546997
35	5.1853576	6.5663757	9.3	-5.9	6.6322794	6.4555955	3.5644236	14.830421	-7.4013543	144000	1.8626451e-09	20.57109	-0.0090884715	-2.8586383	0.6167633	0.0015632946	0.05975	79.0	2250.3199775218964
36	5.1856666	6.568038	9.3	-6.1	6.6433334	6.4916787	3.487965	13.584399	-7.1385436	148000	1.46683306e-08	21.085009	-0.007940508	-3.4427574	0.59673727	0.0056711277	0.066750005	79.0	2307.644331216812
37	4.918212	6.6819863	9.3	-5.8	6.6125827	6.7373137	3.4220903	14.314371	-7.644618	152000	-5.5879354e-09	21.737959	-0.010037089	-2.8439822	0.62672716	0.012327621	0.13100001	68.0	2364.7344200611115
38	5.1443696	6.5667186	9.3	-6.0	6.707563	6.358878	3.5377808	15.059263	-8.490927	156000	-9.313226e-09	21.189037	-0.008376397	-3.614131	0.618147	0.0057508387	0.069749996	79.0	2421.7857925891876
39	5.967414	6.0794053	9.3	-5.9	6.8775864	6.9411054	3.4093618	18.249327	-9.2196	160000	-5.5879354e-09	16.393848	-0.008932879	-2.9539552	0.6018362	0.012325348	0.168	38.0	2477.4150309562683
40	5.662267	6.281144	9.3	-5.8	6.7445006	7.14255	3.2006328	15.815349	-6.791904	164000	-1.3038516e-08	19.116327	-0.007921444	-3.579692	0.5873809	0.012190536	0.06025	36.0	2534.359035253525
41	5.645017	6.2798595	9.3	-5.9	6.865979	6.9959955	3.0983973	11.881488	-8.156086	168000	-1.5832484e-08	18.877342	-0.010394271	-3.6682343	0.6241345	0.0029232306	0.072	79.0	2591.4305608272552
42	5.2983074	6.4846973	9.3	-5.9	6.746193	6.9480696	3.3327966	13.387784	-10.072155	172000	-3.3527613e-08	18.60831	-0.008867576	-3.5366092	0.606568	0.0049314494	0.058750004	79.0	2648.656077861786
43	6.0335097	6.021851	9.3	-6.0	7.037037	6.9334626	3.4050753	14.06	-7.781412	176000	-3.3527613e-08	17.487343	-0.004532791	-4.3028703	0.6041044	0.012504648	0.13575	13.0	2704.3954231739044
44	5.547313	6.3519726	9.3	-6.0	6.9185443	7.132133	3.2778594	13.877777	-11.2270355	180000	3.3760443e-09	18.796396	-0.008887509	-3.7295606	0.6051595	0.0036795228	0.061	79.0	2760.7061750888824
45	5.7670727	6.1907296	9.3	-6.0	6.9634147	6.8716416	3.4224477	12.517839	-8.551713	184000	-1.0244548e-08	18.544567	-0.009445594	-4.289921	0.5895149	0.009926228	0.085999995	79.0	2819.998800754547
46	5.808596	6.1467566	9.3	-5.9	7.0017543	7.1974683	3.161518	13.830119	-7.8681655	188000	-7.450581e-09	16.52208	-0.010660349	-3.2382946	0.5938525	0.0072074323	0.0775	79.0	2877.2707328796387
47	6.483066	5.6845865	9.3	-6.0	7.0944743	7.410167	3.0061235	14.719269	-9.237666	192000	1.3969839e-08	13.327501	-0.009443074	-2.692664	0.5859499	0.007946525	0.067250006	79.0	2934.398645401001
48	5.9916368	6.0505214	9.3	-5.8	7.0765123	7.5938945	2.9166882	12.89594	-7.4610114	196000	0.0	14.783974	-0.010006934	-3.1896362	0.5810249	0.0037944023	0.066750005	79.0	2991.4918513298035
49	5.7766957	6.180349	9.3	-6.0	6.9286957	7.156634	3.3512204	12.576236	-8.87	200000	1.3038516e-08	16.59931	-0.010565685	-3.328667	0.5677172	0.0072059063	0.08075	79.0	3048.9178528785706
50	5.9383245	6.0866947	9.3	-6.0	7.1051693	7.30942	3.1765037	16.913973	-12.597831	204000	5.5879354e-09	15.507575	-0.009686081	-3.5639234	0.57592124	0.004188478	0.086500004	79.0	3105.8132605552673
51	5.798407	6.1454854	9.3	-6.0	7.060177	7.2001076	3.358151	13.375273	-9.109831	208000	1.0244548e-08	14.936948	-0.008931191	-3.23922	0.5821119	0.004919004	0.08175	79.0	3163.5713098049164
52	6.4987154	5.668369	9.3	-5.9	7.306422	7.453366	3.0839262	13.361084	-8.423919	212000	2.0954758e-09	13.610821	-0.008843452	-3.3022733	0.56880623	0.005887218	0.110750005	79.0	3221.4871978759766
53	6.1613193	5.922348	9.3	-5.9	7.103387	7.6068234	2.9404137	14.760418	-6.4649315	216000	-3.7252903e-09	14.20389	-0.007178095	-3.0459456	0.54802316	0.00632778	0.073249996	79.0	3278.6526398658752
54	6.330601	5.7855744	9.3	-5.9	7.276867	7.5223293	3.0207467	12.5602045	-7.6608047	220000	1.6763806e-08	15.23921	-0.0105245635	-3.660365	0.5447953	0.010135068	0.12475	79.0	3335.6832191944122
55	6.606666	5.550032	9.3	-5.8	7.1765766	7.5396686	3.0576053	14.140598	-12.514172	224000	6.519258e-09	12.823916	-0.0077319317	-3.4099514	0.5399498	0.0060867816	0.07224999	79.0	3393.4677398204803
56	6.290925	5.810638	9.3	-5.9	7.2359347	7.6350746	2.7963917	12.846788	-6.939	228000	-3.7252903e-09	15.088011	-0.0032772352	-3.6379044	0.54096293	0.013100324	0.11725	6.0	3450.5802495479584
57	6.270357	5.8053465	9.3	-5.9	7.117857	7.321397	3.1549683	12.790813	-11.070189	232000	-3.7252903e-09	14.200977	-0.0075053186	-3.740746	0.537632	0.010154377	0.096499994	79.0	3508.091602087021
58	6.363345	5.7598414	9.3	-5.9	7.0960855	7.6092534	2.9266117	13.910805	-9.011646	236000	3.7252903e-09	13.171106	-0.008320003	-3.0096579	0.55067945	0.009851661	0.085750006	79.0	3564.7949571609497
59	6.808148	5.3711166	9.3	-6.0	7.3814816	7.745122	2.8625774	15.604714	-7.491264	240000	-1.8626451e-09	12.069332	-0.008689666	-3.4372978	0.52427316	0.009760759	0.0895	79.0	3622.463035106659
60	6.46714	5.6657243	9.3	-6.0	7.0870337	7.7849336	2.9271457	15.312516	-10.330585	244000	-1.9557774e-08	12.200634	-0.007812027	-2.8042595	0.51195824	0.0068177534	0.073	79.0	3679.6079626083374
61	6.1669035	5.910544	9.3	-5.9	7.103203	7.699706	2.94524	12.828429	-8.05913	248000	9.313226e-09	13.537962	-0.00806194	-3.3011944	0.5162073	0.002859388	0.04575	79.0	3736.7200043201447
62	6.122401	5.9231176	9.3	-6.0	7.145161	7.424163	3.2629702	13.421533	-11.088424	252000	-5.5879354e-09	13.232862	-0.008530188	-3.4488332	0.5393249	0.007397338	0.10525	79.0	3793.437490940094
63	6.276673	5.8058505	9.3	-5.9	7.21519	7.5069256	3.1387248	14.608012	-7.4987535	256000	9.313226e-09	13.365009	-0.0061631417	-3.7008877	0.54714274	0.0076251025	0.065500006	79.0	3850.426023006439
64	6.646	5.526996	9.3	-5.9	7.267273	7.742054	2.91005	14.01068	-7.655241	260000	6.519258e-09	13.722389	-0.0054106703	-4.103285	0.5375384	0.012343686	0.10375	16.0	3906.8290507793427
65	6.1938186	5.886536	9.3	-5.9	7.243636	7.663106	2.9130225	15.9181185	-7.3290353	264000	5.5879354e-09	14.952259	-0.009295716	-4.012912	0.52714485	0.010194251	0.08575	79.0	3963.6925632953644
66	6.5872493	5.5664544	9.3	-5.8	7.2604737	7.583214	3.0129824	13.222103	-11.273567	268000	1.8626451e-08	12.633423	-0.007726608	-3.7647934	0.51628095	0.012576244	0.07175	38.0	4019.9010236263275
67	7.2031713	4.999449	9.3	-5.7	7.4458957	7.946152	2.781806	13.637206	-8.667606	272000	1.3038516e-08	10.11966	-0.008562409	-3.425891	0.51347184	0.010995545	0.085250005	79.0	4076.9022238254547
68	6.4283395	5.71682	9.3	-5.8	7.196751	8.039218	2.7263687	17.31953	-7.9373746	276000	-1.4901161e-08	13.2416115	-0.007939212	-4.0525913	0.51656747	0.006568876	0.06625	79.0	4134.164949893951
