Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.6985559	6.795045	9.0	-8.3	14.314079	-0.013954046	0.046817724	0.11070049	-0.18934837	4000	2.9802322e-08	46.685036	-0.011692022	-19.795918	1.608221	0.013156531	0.20875001	6.0	47.94728922843933
1	1.4711657	6.979894	9.0	-8.3	12.128835	3.3699007	2.8149588	8.724326	-1.9442626	8000	-1.6763806e-08	28.354757	-0.007642079	-2.5097032	1.5971637	0.013690975	0.17625001	7.0	95.56104350090027
2	2.2476923	7.054454	9.0	-7.4	10.2153845	4.4506307	3.1966674	11.2869625	-2.8110104	12000	9.313226e-09	27.786638	-0.015566874	-1.8819966	1.5690033	0.012127414	0.20025	58.0	145.14863991737366
3	2.4641647	7.10388	9.0	-7.1	9.619855	5.1476307	3.0727744	10.828594	-4.881598	16000	1.1641532e-08	29.42258	-0.010376052	-0.7899585	1.5243129	0.012410184	0.20475	11.0	193.82997298240662
4	2.995588	7.0201197	9.0	-7.0	9.75	5.092908	3.0148575	11.125517	-5.384101	20000	-1.6763806e-08	26.895908	-0.004129695	-1.8413534	1.4707311	0.013439333	0.18875	7.0	242.48960733413696
5	3.6654463	6.8897114	9.0	-6.7	9.112128	5.754644	3.068931	12.18401	-4.7588134	24000	-9.313226e-10	23.407612	-0.0063399775	-0.8907914	1.3964286	0.01522864	0.15474999	5.0	291.2230772972107
6	3.6314893	6.948561	9.0	-6.2	8.472341	6.1844707	2.702857	11.095952	-1.4270636	28000	-1.3038516e-08	25.161522	-0.007861734	-0.9506774	1.3022121	0.012709589	0.211	14.0	340.3555076122284
7	3.5637712	6.9725423	9.0	-6.4	8.430085	6.0479827	2.903397	11.355601	-7.6081514	32000	-4.656613e-09	25.58472	-0.011613996	-0.8478718	1.2389716	0.010091806	0.0955	79.0	390.42287015914917
8	4.1275053	6.810821	9.0	-6.2	8.511727	6.114959	2.8878155	11.429839	-3.038965	36000	1.4901161e-08	22.968082	-0.012702366	-1.0727	1.1904292	0.0042770533	0.08625	79.0	440.4496762752533
9	4.62193	6.6130853	9.0	-6.6	8.714912	6.5010066	2.7449687	11.8562155	-5.81165	40000	-3.958121e-09	20.524525	-0.012536084	-1.0547633	1.1363447	0.008126054	0.09475	79.0	490.5438883304596
10	4.387931	6.712779	9.0	-6.4	8.599138	6.6564856	2.7314336	11.617605	-9.418166	44000	5.122274e-09	22.387455	-0.012074569	-1.527185	1.088177	0.008087404	0.1135	79.0	540.640527009964
11	4.349367	6.730327	9.0	-6.1	8.405064	6.618619	2.615963	11.817171	-6.0779247	48000	-4.656613e-09	21.453709	-0.008185908	-1.052011	1.01922	0.004383485	0.08975	79.0	591.0157589912415
12	4.548807	6.658019	9.0	-7.2	8.633406	6.5949316	2.6887193	12.028514	-1.279102	52000	9.313226e-09	21.586031	-0.0086651025	-1.5426011	1.030016	0.006196188	0.087500006	79.0	641.1186320781708
13	4.873581	6.516183	9.0	-6.0	8.687773	6.699012	2.6657665	14.357746	-1.8257589	56000	-3.7252903e-09	19.363873	-0.009301607	-1.2459228	0.98438823	0.012361806	0.15125	22.0	690.3482630252838
